0.8945,5
0.9197,2
0.7184,1
0.9093,4
0.8614,4
-0.8865,2
0.9633,3
0.9534,3
0.9786,4
0.9841,3
0.9894,5
-0.5379,5
0.9813,4
0.9231,5
0.9969,4
0.8873,4
0.9013,4
0.9487,5
-0.8993,2
0.9798,3
0.9904,5
0.9788,4
0.8221,5
0.7783,4
-0.3818,4
0.9945,5
0.9978,4
0.6887,4
0.9316,5
0.8841,1
0.9515,5
0.7482,5
-0.4403,3
0.9797,5
0.477,3
0.9708,5
0.8316,3
0.7647,5
0.1111,1
0.9458,3
0.9786,3
0.3612,1
0.7245,2
-0.0335,2
0.882,5
0.6643,1
-0.5558,2
0.4539,3
-0.9118,1
0.9258,3
0.9674,4
-0.2886,4
0.9506,5
0.9672,5
0.762,4
0.9296,2
0.8928,3
0.9719,4
-0.7695,2
0.8986,4
0.9934,4
0.8196,3
0.9479,2
0.529,4
0.2014,4
0.9359,5
0.5081,4
0.8934,4
0.4429,3
0.8852,4
0.0416,2
-0.3182,2
-0.9079,2
-0.3818,4
0.9805,4
0.9858,3
0.9052,2
-0.6072,1
0.9755,5
0.9933,5
0.9822,5
0.8955,5
0.9673,4
0.9947,3
0.2617,5
0.809,4
-0.4497,1
0.9484,1
-0.7074,1
0.9953,4
0.6049,5
0.6757,4
0.8522,5
0.5984,4
0.9227,5
-0.2875,3
0.9646,3
-0.9048,1
-0.9283,1
0.9604,3
0.9805,5
0.9916,5
0.9833,2
0.0,1
0.9827,4
0.999,5
0.7971,3
0.9935,4
-0.6283,1
0.764,4
0.9872,5
0.3111,5
-0.2714,4
0.9541,5
0.9309,5
0.984,5
0.8415,5
0.9819,5
0.9931,3
-0.4019,1
0.0,3
0.3788,3
-0.5106,5
0.9636,4
0.7865,5
0.8211,5
-0.5994,5
0.1628,2
0.6597,5
0.9949,5
0.9392,4
0.957,3
0.9472,4
0.9958,3
0.9789,5
0.9633,4
0.0,1
0.0,3
-0.6589,1
-0.7595,1
0.7783,2
-0.5354,1
-0.9451,1
-0.8733,1
0.2285,4
0.9736,5
0.9557,5
0.9425,4
0.6353,1
0.0,5
0.3918,1
0.9488,5
-0.8289,1
-0.8651,1
0.9364,4
0.8753,3
0.8974,5
0.734,4
0.958,4
-0.8316,2
-0.5574,1
0.0,4
0.8316,4
0.9794,4
-0.7149,1
0.9684,5
0.9844,5
0.9153,5
0.9786,5
0.7172,5
0.8933,4
-0.5462,1
0.9951,5
0.9144,4
0.9209,3
0.9498,4
0.8762,4
0.902,2
0.7122,2
0.9507,5
0.9183,4
0.9793,2
0.965,4
0.9081,4
0.5504,3
0.761,4
0.8957,4
0.9259,3
0.2732,2
0.0,1
0.7351,5
0.6908,1
0.9453,4
0.8282,1
0.6522,3
